quality_measure	similarity_measure	upperbound_type	attr_items	attr_users	attr_aggregate	#attr_items	#attr_users	#attr_aggregate	#ratings	#items	#users1	#users2	#usersagg_1	#usersagg_2	sigma_context	sigma_u1	sigma_u2	sigma_agg_u1	sigma_agg_u2	closed	prune	sigma_quality	top_k	#all_visited_context	#candidates	#init	#timespent	#patterns	max_quality_found
DISAGR_SUMDIFF	AVG_RANKING_SIMPLE	2	[('genres', 'themes')]	[('ageGroup', 'simple')]	[['ageGroup']]	1	1	1	52879	1000	943	943	4	4	5.0	5	5	1	1	True	True	0.0	5	1387	412	1.7829999923706055	2.1730000972747803	5	0.2847996865332677
DISAGR_SUMDIFF	AVG_RANKING_SIMPLE	2	[('genres', 'themes')]	[('ageGroup', 'simple')]	[['ageGroup']]	1	1	1	52879	1000	943	943	4	4	10.0	5	5	1	1	True	True	0.0	5	1100	266	1.7920000553131104	2.111999988555908	5	0.12437235656831136
DISAGR_SUMDIFF	AVG_RANKING_SIMPLE	2	[('genres', 'themes')]	[('ageGroup', 'simple')]	[['ageGroup']]	1	1	1	52879	1000	943	943	4	4	15.0	5	5	1	1	True	True	0.0	5	879	200	1.7630000114440918	1.628999948501587	5	0.12437235656831136
DISAGR_SUMDIFF	AVG_RANKING_SIMPLE	2	[('genres', 'themes')]	[('ageGroup', 'simple')]	[['ageGroup']]	1	1	1	52879	1000	943	943	4	4	20.0	5	5	1	1	True	True	0.0	5	693	168	1.437000036239624	1.5980000495910645	5	0.08371636550393713
DISAGR_SUMDIFF	AVG_RANKING_SIMPLE	2	[('genres', 'themes')]	[('ageGroup', 'simple')]	[['ageGroup']]	1	1	1	52879	1000	943	943	4	4	50.0	5	5	1	1	True	True	0.0	5	394	74	1.5069999694824219	1.5709998607635498	5	0.02968595807587404
